CommonName,BotanicalName,Family,Origin,PotentialUse,Description,Phenology,Taxonomy,EcologicalUses,EthnobotanicalUses,Latitude,Longitude,CoverImageURL,FlowerImageURL,FruitImageURL,LeafImageURL,BarkImageURL,SourceNote
Sal,Shorea robusta,Dipterocarpaceae,Native,"Timber, Medicinal","A large deciduous tree native to India, Bangladesh, Nepal, Tibet and the Himalayan foothills, growing up to 40 m tall. Historically one of the dominant forest species of the Indian subcontinent and a major timber species.","Deciduous; flowering generally occurs in spring (roughly Feb-Apr in most regions), with the start-of-season for sal forests in India ranging from mid-May to late July depending on forest moisture type.",Kingdom Plantae; Order Malvales; Family Dipterocarpaceae; Genus Shorea; Species S. robusta.,Forms the dominant canopy of sal forest ecosystems across the Himalayan foothills and central India; long taproot aids soil stabilisation; thick bark provides fire resistance.,"Wood used for construction and door/window frames; dried leaves widely stitched into leaf plates (patravali) in India and Nepal; bark, leaves, resin and seed oil used in traditional/Ayurvedic medicine for wound healing and digestive complaints.",30.3398,78.0349,,,,,,"Verified against Wikipedia (Shorea robusta), World Agroforestry Centre species database, and PharmEasy Ayurveda reference (accessed 2026)."
Sheesham (North Indian Rosewood),Dalbergia sissoo,Fabaceae,Native,"Timber, Soil water conservation","A fast-growing, hardy deciduous tree native to the Indian subcontinent and southern Iran, growing up to 25 m tall with a light crown and often crooked trunk. After teak, it is India's most important cultivated timber tree.","Flowers March-April, small and fragrant, yellowish-white to pink; flat papery seed pods follow and mature later in the year.",Kingdom Plantae; Order Fabales; Family Fabaceae; Subfamily Faboideae; Genus Dalbergia; Species D. sissoo.,"Nitrogen-fixing legume that improves soil fertility; widely used in agroforestry, shelterbelts and canal/roadside plantings; larval food plant of the black rajah butterfly (Charaxes solon).","Premier cabinetry and furniture timber in South Asia, also used for plywood, musical instruments, flooring and boats; seed oil and powdered wood used traditionally for skin ailments; bark and fruit used in traditional remedies for throat and digestive complaints.",30.3402,78.0356,,,,,,Verified against Wikipedia (Dalbergia sissoo) and Jammu University botanical fact sheet (accessed 2026).
Teak,Tectona grandis,Lamiaceae,Native,Timber,"A large deciduous hardwood tree native to south and southeast Asia, mainly India, Bangladesh, Myanmar, Thailand, Indonesia and Sri Lanka, reaching up to 40 m tall. Source of one of the world's most valuable timbers.",Fragrant white flowers borne in large terminal panicles from June to August; globose fruits (1.2-1.8 cm) develop September to December.,Kingdom Plantae; Order Lamiales; Family Lamiaceae; Genus Tectona; Species T. grandis.,Component of monsoon forest vegetation; molecular studies identify India as one of two centres of genetic origin for the species.,"Highly durable, water-resistant timber used for boat-building, exterior construction, veneer, furniture and carving; the name 'teak' derives via Malayalam/Tamil/Sanskrit roots reflecting its long history of use on the subcontinent.",30.3385,78.0342,,,,,,Verified against Wikipedia (Teak / Tectona) (accessed 2026).
Neem,Azadirachta indica,Meliaceae,Native,"Medicinal, Essential oil, Shade tree","An evergreen to semi-deciduous tree native to the Indian subcontinent, widely regarded as one of the most ethnobotanically important trees in South Asia and a hardy, drought-tolerant shade species.",New leaves and flowers appear together in spring; small white fragrant flowers are followed by olive-like fruits that ripen by early summer.,Kingdom Plantae; Order Sapindales; Family Meliaceae; Genus Azadirachta; Species A. indica.,"Hardy, drought-tolerant tree that provides shade and soil stabilisation; seeds and leaves are the source of natural biopesticide compounds used in pest management.","Bark, leaves, seeds and oil are used extensively in Ayurvedic medicine; neem oil is a well-documented natural insecticide; twigs traditionally used as a dental cleaning aid across South Asia.",30.3391,78.0361,,,,,,Verified against Wikipedia (Azadirachta indica) and USDA/ICRAF Agroforestree Database (accessed 2026).
Peepal (Sacred Fig),Ficus religiosa,Moraceae,Native,"Sacred / Socio-cultural, Shade tree","A large deciduous to semi-evergreen fig tree native to the Indian subcontinent and southeast Asia, venerated in Hinduism, Buddhism and Jainism, and one of the most culturally significant trees in South Asia.",Leaves are heart-shaped with a distinctive drawn-out tip; the tree sheds leaves briefly in spring before flushing new growth; fig-like fruit (syconia) develop through the year and are eaten by birds and bats.,Kingdom Plantae; Order Rosales; Family Moraceae; Genus Ficus; Species F. religiosa.,"Keystone species in many South Asian ecosystems, its fruit providing year-round food for birds, bats and other wildlife; often grows epiphytically on other structures.","Sacred in Hinduism, Buddhism (the tree under which the Buddha attained enlightenment is a sacred fig) and Jainism; bark, leaves and fruit used in traditional medicine for various ailments including diabetes and skin conditions.",30.3405,78.0338,,,,,,Verified against Wikipedia (Ficus religiosa) (accessed 2026).
Banyan,Ficus benghalensis,Moraceae,Native,"Sacred / Socio-cultural, Shade tree","India's national tree, a large evergreen fig species native to the Indian subcontinent, distinctive for producing aerial prop roots that mature into secondary trunks, allowing a single tree to spread over a vast area.",Largely evergreen; small fig-like fruits (syconia) are produced through much of the year and are an important food source for birds and mammals.,Kingdom Plantae; Order Rosales; Family Moraceae; Genus Ficus; Species F. benghalensis.,Keystone fruiting species supporting large numbers of frugivorous birds and mammals; extensive canopy and root systems support unique microhabitats.,"Sacred in Hinduism; commonly planted near temples and used as a communal shade tree; various plant parts used in traditional medicine for skin, dental and digestive conditions.",30.3411,78.0347,,,,,,Verified against Wikipedia (Ficus benghalensis) (accessed 2026).
Gulmohar (Flame Tree),Delonix regia,Fabaceae,Exotic,"Ornamental, Shade tree","A striking flowering tree originally native to Madagascar, now widely planted as an ornamental across tropical and subtropical India for its brilliant red-orange flower display.","Flowers profusely in the hot season, typically April to June in North India, producing large clusters of scarlet-orange blooms; long, flat woody seed pods follow and persist into winter.",Kingdom Plantae; Order Fabales; Family Fabaceae; Subfamily Caesalpinioideae; Genus Delonix; Species D. regia.,Provides seasonal nectar resources for pollinating insects; widely used as a shade and avenue tree in urban and campus landscaping across India.,"Primarily ornamental; some traditional use of bark and leaves in folk medicine, though not as extensively documented as other campus species.",30.3378,78.0365,,,,,,Verified against Wikipedia (Delonix regia) (accessed 2026).
Jacaranda,Jacaranda mimosifolia,Bignoniaceae,Exotic,Ornamental,"A subtropical tree native to south-central South America (Argentina and Bolivia), widely planted in India as an ornamental avenue tree for its vivid violet-blue flower display.","Produces large clusters of trumpet-shaped violet-blue flowers, typically in spring before or alongside new leaf growth in North Indian conditions.",Kingdom Plantae; Order Lamiales; Family Bignoniaceae; Genus Jacaranda; Species J. mimosifolia.,Widely planted street and campus tree valued for shade and seasonal flowering display; attracts pollinating insects during bloom.,"Primarily ornamental in South Asia; in its native range, bark and leaves have limited traditional medicinal use.",30.3382,78.0353,,,,,,Verified against Wikipedia (Jacaranda mimosifolia) (accessed 2026).
Silver Oak,Grevillea robusta,Proteaceae,Exotic,"Timber, Shade tree","An evergreen tree native to eastern Australia, widely introduced across India, especially in tea and coffee plantations, for shade and its ornamental foliage.","Produces distinctive one-sided golden-orange flower clusters, generally in spring; fern-like silvery-green bipinnate leaves are present year-round.",Kingdom Plantae; Order Proteales; Family Proteaceae; Genus Grevillea; Species G. robusta.,"Commonly used as a shade tree in tea, coffee and cardamom plantations across South India due to its light canopy; provides nectar for birds and insects.","Timber used for furniture, plywood and construction in its introduced range; grown ornamentally for its attractive silvery foliage.",30.3373,78.034,,,,,,Verified against Wikipedia (Grevillea robusta) (accessed 2026).
Amaltas (Golden Shower Tree),Cassia fistula,Fabaceae,Native,"Ornamental, Medicinal","A medium-sized deciduous tree native to the Indian subcontinent and southeast Asia, designated the national tree of Thailand and state flower of Kerala, known for its cascading yellow flower clusters.",Flowers profusely in long pendant racemes during the pre-monsoon summer months (April-June in North India); long cylindrical seed pods develop and persist afterward.,Kingdom Plantae; Order Fabales; Family Fabaceae; Subfamily Caesalpinioideae; Genus Cassia; Species C. fistula.,Nectar source for pollinators during peak summer flowering; commonly planted as an avenue and ornamental tree across South Asia.,Pulp from the seed pods has long been used in traditional Ayurvedic and Siddha medicine as a mild laxative; bark and leaves used in various traditional preparations.,30.3369,78.0358,,,,,,Verified against Wikipedia (Cassia fistula) (accessed 2026).
